kegg_id,Keq,stdev,bigg_id
R00572,1.19E-05,1.50E-01,PYK4
R00573,1.75E+02,1.28E-01,CTPS2
R00574,1.56E-01,1.63E-02,
R00575,1.38E+01,1.23E-01,CBPS
R00576,1.03E+02,1.69E-01,r0156
R00578,1.47E+05,5.48E-02,ASNS1
R00579,4.48E-02,7.56E-02,
R00581,4.95E-08,5.24E-01,
R00582,6.64E+01,8.17E-01,PSP_L
R00584,8.83E+00,7.54E-01,
R00585,1.99E-01,5.46E-01,SPTc
R00586,1.49E+01,9.64E-02,SATm
R00588,5.67E+00,2.54E-01,SPT_syn
R00589,1.44E+00,9.25E-02,SERR
R00590,4.27E+00,2.44E-01,SERHL
R00602,1.62E+51,2.44E-02,PRDXl
R00604,3.41E+07,2.07E-01,ALDD1
R00605,1.02E-06,7.27E-02,ALCD1
R00608,2.39E+17,1.51E-02,
R00610,3.09E+13,1.01E-02,SARCOXp
R00612,1.33E+12,8.23E-03,
R00614,3.35E+13,3.38E-02,
R00616,1.91E-01,3.65E-01,TMDPPK
R00618,2.20E+05,3.65E-01,THMTP
R00619,1.08E+01,1.50E-01,TMDPK
R00621,4.96E+04,5.94E-02,r0163
R00648,3.29E+18,8.23E-03,METOX
R00649,1.44E+00,6.70E-02,
R00651,9.68E+09,2.99E-02,AHSERL
R00652,1.54E+03,2.55E-02,
R00653,2.50E+04,4.87E-03,FMETDF
R00654,5.88E+01,1.18E-02,METGL
R00655,2.97E+00,3.97E-02,
R00656,1.48E+04,1.70E-02,
R00658,5.23E+00,7.85E-01,ENO
R00659,5.55E-06,3.36E-01,PYK2
R00660,1.43E+02,4.31E-03,UAGCVT
R00661,2.45E-03,9.64E-02,
R00662,1.47E+05,4.66E-02,r0166
R00664,1.56E+13,5.12E-06,
R00665,1.54E+04,1.92E-02,
R00666,6.63E-11,1.14E-02,
R00667,4.41E+03,2.87E-02,ORNTA
R00668,1.17E+02,1.05E-02,
R00669,7.24E-01,6.70E-02,ACODA
R00670,5.32E+07,1.18E-02,ORDCh
R00671,8.40E+03,3.66E-02,ORNCD
R00672,9.11E+03,2.44E-02,
R00673,2.01E-04,5.92E-01,TRPAS2
R00674,5.30E+08,4.12E-01,TRPS2
R00675,4.46E-01,2.00E-02,
R00676,2.98E-01,2.00E-02,
R00677,1.09E+23,5.96E-03,TRPOX
R00678,2.46E+59,5.96E-03,TRPO2
R00679,5.09E+83,5.50E-03,
R00681,2.80E+68,6.46E-03,
R00682,1.00E+00,1.57E-02,
